"hours","oxygen"
2.39,5.88148148148148
2.48,5.7037037037037
2.72,5.61481481481481
2.77,5.46666666666667
2.87,5.37777777777778
3.01,5.25925925925926
3.2,4.99259259259259
3.4,4.99259259259259
3.59,4.84444444444444
3.73,4.63703703703704
4.02,4.48888888888889
4.17,4.25185185185185
4.27,4.13333333333333
4.46,3.92592592592593
4.65,3.68888888888889
5.04,3.48148148148148
5.37,3.3037037037037
5.76,3.00740740740741
6.43,3.00740740740741
6.77,3.06666666666667
7.06,3.06666666666667
7.3,3.21481481481482
7.88,3.39259259259259
8.36,3.71851851851852
8.65,4.07407407407407
8.94,4.1037037037037
9.08,4.25185185185185
9.08,4.25185185185185
9.33,4.4
9.71,4.72592592592592
9.76,4.9037037037037
10,5.02222222222222
10.39,5.22962962962963
10.53,5.58518518518519
10.87,5.85185185185185
10.87,5.85185185185185
10.87,5.85185185185185
11.25,6.26666666666667
11.3,6.38518518518518
11.59,6.74074074074074
11.64,6.85925925925926
11.88,7.15555555555556
12.22,7.54074074074074
12.31,7.71851851851852
12.51,8.13333333333333
12.6,8.37037037037037
12.7,8.63703703703704
13.08,8.81481481481481
13.47,9.31851851851852
13.57,9.2
13.71,9.76296296296296
13.76,9.58518518518518
14.24,10.5333333333333
14.48,10.4444444444444
14.92,10.8592592592593
14.92,10.8592592592593
15.35,11.1259259259259
15.4,11.4814814814815
15.88,11.7185185185185
15.88,11.7185185185185
15.98,11.5703703703704
16.12,11.9851851851852
16.65,12.3407407407407
16.99,12.5481481481481
17.23,12.8148148148148
17.23,12.8148148148148
17.23,12.8148148148148
17.95,13.0222222222222
18.14,13.1407407407407
18.58,13.0222222222222
18.58,13.0814814814815
18.58,13.0814814814815
19.11,13.2592592592593
19.59,13.0222222222222
19.98,13.1111111111111
20.36,13.0518518518519
20.36,13.0518518518519
20.6,12.7555555555556
21.04,12.5777777777778
21.61,12.4
21.61,12.0148148148148
22.05,11.9851851851852
22.05,11.9851851851852
22.34,11.6592592592593
22.77,11.4222222222222
22.77,11.037037037037
22.87,10.6518518518519
23.06,10.6814814814815
23.06,10.5925925925926
23.16,10.0592592592593
23.35,10.4148148148148
23.54,9.85185185185185
23.64,9.14074074074074
23.83,8.99259259259259
23.88,9.79259259259259
23.88,9.55555555555555
23.88,9.55555555555555
24.02,8.81481481481481
24.27,8.60740740740741
24.41,7.92592592592592
24.75,7.71851851851852
24.75,7.71851851851852
24.8,8.28148148148148
25.18,7.3037037037037
25.33,6.82962962962963
25.42,6.59259259259259
25.76,7.03703703703704
25.76,6.2962962962963
25.9,5.94074074074074
26.43,5.61481481481481
26.63,5.31851851851852
26.87,4.99259259259259
27.3,4.60740740740741
27.69,4.28148148148148
27.69,4.28148148148148
27.69,4.28148148148148
27.93,3.92592592592593
28.12,3.51111111111111
28.6,3.62962962962963
28.7,3.3037037037037
28.89,3.3037037037037
29.08,3.21481481481482
29.47,3.03703703703704
29.86,2.88888888888889
30,3.0962962962963
30.34,2.91851851851852
30.39,3.00740740740741
30.77,3.00740740740741
31.06,3.27407407407407
31.83,3.39259259259259
32.27,3.65925925925926
32.51,4.04444444444444
33.04,4.25185185185185
33.28,4.51851851851852
33.61,4.96296296296296
34.1,5.25925925925926
34.29,5.52592592592593
34.43,5.79259259259259
34.82,6.11851851851852
35.11,6.38518518518518
35.11,6.71111111111111
35.35,6.77037037037037
35.35,6.77037037037037
35.35,7.12592592592592
35.69,7.3037037037037
35.98,7.68888888888889
35.98,7.68888888888889
36.31,7.71851851851852
36.41,8.1037037037037
36.41,8.04444444444444
36.41,8.04444444444444
36.41,8.04444444444444
36.51,8.60740740740741
36.75,8.93333333333333
36.99,9.2
36.99,9.2
37.18,9.4962962962963
37.61,9.40740740740741
37.66,9.82222222222222
37.66,9.82222222222222
37.9,9.22962962962963
37.95,10.1481481481481
38.19,10.4740740740741
38.43,10.9777777777778
38.53,10.8296296296296
38.77,11.1555555555556
39.16,11.3925925925926
39.59,11.7777777777778
39.64,11.5111111111111
39.98,11.8666666666667
40.12,12.0148148148148
40.41,12.2814814814815
40.6,12.2222222222222
40.99,12.637037037037
40.99,12.8740740740741
41.33,12.9037037037037
41.33,12.9037037037037
41.33,12.9037037037037
